"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"CA-525",NA,NA,NA,NA,NA,NA,NA,36,44,42,39,39,35,37,45,33,32,33,31,27,19,0,-121,146,84,69,62,59,56
"CA-526",NA,NA,NA,NA,NA,NA,NA,20,38,39,41,46,41,40,54,41,43,39,39,38,38,38,38,37,37,37,37,37,36
"CA-527",NA,NA,NA,NA,NA,NA,NA,NA,33,41,40,44,38,40,34,36,38,39,39,39,38,38,38,38,38,37,37,37,37
"CA-529",NA,NA,NA,NA,NA,NA,NA,NA,46,45,40,36,43,39,34,37,42,39,40,40,40,40,41,41,41,42,42,42,42
"CA-530",NA,NA,NA,NA,NA,NA,NA,NA,25,31,36,33,34,35,53,41,30,42,44,48,53,63,85,180,-212,-40,-12,0,6
"CA-600",NA,NA,NA,NA,NA,NA,NA,13,33,33,31,31,31,32,47,32,31,33,33,33,33,33,33,33,33,33,33,33,33
"CA-601",NA,NA,NA,NA,NA,NA,NA,36,36,34,34,32,33,32,41,34,36,34,34,34,34,35,35,35,35,36,36,36,36
"CA-602",NA,NA,NA,NA,NA,NA,NA,30,39,38,33,32,37,37,48,36,36,35,35,35,35,35,35,35,35,35,35,35,35
"CA-603",NA,NA,NA,NA,NA,NA,NA,20,35,35,37,37,39,37,36,36,37,34,33,33,32,32,32,31,31,31,30,30,30
"CA-604",NA,NA,NA,NA,NA,NA,NA,38,31,27,30,31,30,31,46,32,32,33,33,33,33,34,34,34,34,34,34,34,34
"CA-606",NA,NA,NA,NA,NA,NA,NA,10,32,31,29,29,31,29,33,27,33,30,30,30,30,30,30,30,30,30,31,31,31
"CA-607",NA,NA,NA,NA,NA,NA,NA,37,31,33,34,29,31,33,37,31,28,30,30,30,29,29,29,29,28,28,28,28,27
"CA-608",NA,NA,NA,NA,NA,NA,NA,15,33,33,34,34,34,33,46,36,33,36,36,37,37,37,37,37,37,37,37,37,37
"CA-609",NA,NA,NA,NA,NA,NA,NA,28,36,37,36,37,34,34,50,34,35,36,36,36,36,36,36,36,36,36,36,36,36
"CA-611",NA,NA,NA,NA,NA,NA,NA,37,39,37,29,34,33,32,44,33,33,35,35,35,35,35,35,35,35,35,35,35,35
"CA-612",NA,NA,NA,NA,NA,NA,NA,31,41,37,48,40,44,41,56,40,38,42,42,42,42,42,41,41,40,40,39,39,37
"CA-613",NA,NA,NA,NA,NA,NA,NA,31,29,36,29,30,33,27,46,35,30,29,29,28,28,28,28,28,28,28,28,27,27
"CA-614",NA,NA,NA,NA,NA,NA,NA,5,32,28,34,31,32,31,48,44,45,36,38,40,42,45,47,49,50,52,54,56,58
