"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"MN-501",NA,NA,NA,NA,NA,NA,NA,52,50,49,40,41,39,38,39,36,39,39,39,39,39,39,39,39,38,38,38,38,38
"MN-502",NA,NA,NA,NA,NA,NA,NA,53,57,59,60,58,55,53,51,44,49,45,44,42,41,39,38,37,36,35,33,32,31
"MN-503",NA,NA,NA,NA,NA,NA,NA,50,48,51,51,50,50,49,52,47,52,52,52,52,52,52,52,53,53,53,53,53,53
"MN-504",NA,NA,NA,NA,NA,NA,NA,48,53,43,41,47,46,46,70,48,47,44,44,44,44,44,44,44,44,44,44,44,43
"MN-505",NA,NA,NA,NA,NA,NA,NA,46,45,49,51,52,52,43,53,51,50,46,46,45,45,45,45,45,45,44,44,44,44
"MN-506",NA,NA,NA,NA,NA,NA,NA,57,51,60,57,52,44,48,51,51,55,52,53,54,55,56,57,58,59,60,61,62,63
"MN-508",NA,NA,NA,NA,NA,NA,NA,43,50,47,52,47,50,45,49,48,54,47,47,47,48,48,49,49,50,50,51,52,53
"MN-509",NA,NA,NA,NA,NA,NA,NA,43,48,45,44,42,45,45,49,43,42,41,41,40,40,40,40,40,40,39,39,39,39
"MN-511",NA,NA,NA,NA,NA,NA,NA,53,55,57,51,46,51,59,57,50,62,56,57,57,58,58,58,59,59,59,59,60,60
"MO-500",NA,NA,NA,NA,NA,NA,NA,62,61,61,56,55,56,59,66,57,46,51,50,48,47,45,44,42,41,39,37,36,34
"MO-501",NA,NA,NA,NA,NA,NA,NA,42,48,44,42,37,32,35,29,34,35,35,35,35,35,35,35,35,35,35,35,35,35
"MO-503",NA,NA,NA,NA,NA,NA,NA,45,47,53,51,55,47,54,55,52,51,54,54,55,55,55,55,55,55,55,56,56,56
"MO-600",NA,NA,NA,NA,NA,NA,NA,43,49,50,53,49,45,47,45,44,41,45,44,44,43,43,42,42,41,41,41,40,40
"MO-602",NA,NA,NA,NA,NA,NA,NA,41,39,34,32,35,32,35,38,35,37,36,36,37,37,38,38,38,39,39,39,40,40
"MO-603",NA,NA,NA,NA,NA,NA,NA,42,43,41,47,46,47,48,47,47,45,41,40,39,38,38,37,36,35,34,33,32,31
"MO-606",NA,NA,NA,NA,NA,NA,NA,50,49,49,52,49,52,49,54,47,47,48,47,47,47,46,46,46,46,45,45,45,45
"MS-500",NA,NA,NA,NA,NA,NA,NA,32,39,40,37,29,30,31,30,33,29,30,30,31,31,32,32,33,34,35,36,38,40
"MS-501",NA,NA,NA,NA,NA,NA,NA,36,38,43,40,42,38,40,43,42,40,40,40,40,40,40,40,40,40,40,40,40,40
"MS-503",NA,NA,NA,NA,NA,NA,NA,39,38,38,41,39,38,35,45,40,47,46,48,50,52,54,56,59,61,64,68,71,75
"MT-500",NA,NA,NA,NA,NA,NA,NA,47,42,42,41,40,41,41,27,42,41,40,40,40,41,41,41,41,41,41,41,41,41
"NC-500",NA,NA,NA,NA,NA,NA,NA,25,35,31,28,28,23,27,28,35,32,37,38,39,41,42,43,44,45,46,47,48,49
"NC-501",NA,NA,NA,NA,NA,NA,NA,28,27,23,26,25,26,27,25,30,32,30,31,31,32,33,33,34,35,35,36,36,37
"NC-502",NA,NA,NA,NA,NA,NA,NA,26,25,36,32,31,31,32,35,38,36,41,43,44,45,47,48,49,50,51,52,52,53
"NC-503",NA,NA,NA,NA,NA,NA,NA,42,44,44,43,41,42,43,48,46,43,44,45,45,45,46,46,46,47,47,47,47,48
"NC-504",NA,NA,NA,NA,NA,NA,NA,39,31,35,37,34,30,34,39,36,36,39,40,41,43,44,45,47,48,50,52,54,56
"NC-505",NA,NA,NA,NA,NA,NA,NA,45,43,44,44,42,42,41,39,38,41,42,41,41,41,41,41,40,40,40,40,40,40
"NC-506",NA,NA,NA,NA,NA,NA,NA,38,28,35,35,28,36,35,40,43,41,41,43,44,45,46,46,47,48,48,49,49,50
"NC-507",NA,NA,NA,NA,NA,NA,NA,35,44,34,36,38,37,40,55,52,48,42,44,45,47,48,50,51,53,54,55,57,58
"NC-509",NA,NA,NA,NA,NA,NA,NA,41,36,39,48,37,45,43,31,43,40,44,44,44,44,45,45,45,45,45,45,45,45
"NC-511",NA,NA,NA,NA,NA,NA,NA,39,33,37,43,41,41,36,59,35,28,38,37,36,34,33,32,31,31,30,29,28,28
"NC-513",NA,NA,NA,NA,NA,NA,NA,31,27,26,28,26,32,26,28,33,29,30,31,31,32,33,33,34,34,35,35,36,36
"NC-516",NA,NA,NA,NA,NA,NA,NA,54,53,49,54,49,52,49,27,53,46,47,46,45,43,42,39,36,31,24,9,-29,-426
"ND-500",NA,NA,NA,NA,NA,NA,NA,34,35,36,25,40,32,42,43,38,35,37,36,36,36,36,36,36,36,36,35,35,35
"NE-500",NA,NA,NA,NA,NA,NA,NA,49,51,47,48,46,46,43,44,44,48,43,43,42,42,42,42,42,42,42,42,42,42
"NE-501",NA,NA,NA,NA,NA,NA,NA,35,31,31,30,34,31,33,33,32,33,35,35,36,36,36,36,36,37,37,37,37,37
"NE-502",NA,NA,NA,NA,NA,NA,NA,41,39,37,43,45,44,45,43,44,40,41,41,40,40,39,39,38,38,37,36,36,35
"NH-500",NA,NA,NA,NA,NA,NA,NA,45,43,46,46,43,46,45,43,44,47,45,45,45,45,45,46,46,46,46,46,46,46
"NH-501",NA,NA,NA,NA,NA,NA,NA,41,45,46,47,48,45,45,44,42,43,41,40,39,39,38,38,37,37,36,36,35,35
"NH-502",NA,NA,NA,NA,NA,NA,NA,31,38,37,37,35,41,39,42,37,43,42,42,43,43,44,44,45,45,45,46,46,46
"NJ-500",NA,NA,NA,NA,NA,NA,NA,29,27,24,29,26,27,24,26,24,35,36,38,39,41,43,44,46,47,49,51,52,54
"NJ-501",NA,NA,NA,NA,NA,NA,NA,50,44,49,53,48,47,51,53,53,57,42,42,43,43,43,43,44,44,44,45,45,45
"NJ-502",NA,NA,NA,NA,NA,NA,NA,46,47,49,50,50,50,48,54,47,49,48,48,48,48,47,47,47,47,47,47,47,47
"NJ-503",NA,NA,NA,NA,NA,NA,NA,45,37,35,36,37,36,39,41,41,42,44,44,45,46,46,47,48,48,49,49,49,50
"NJ-504",NA,NA,NA,NA,NA,NA,NA,46,43,44,40,44,42,43,36,41,45,40,40,40,39,39,39,38,38,37,37,36,36
"NJ-506",NA,NA,NA,NA,NA,NA,NA,35,32,35,31,31,32,33,28,31,33,38,38,39,39,40,40,41,41,41,42,42,43
"NJ-507",NA,NA,NA,NA,NA,NA,NA,42,39,42,41,43,41,44,40,44,45,40,40,40,40,40,40,40,40,40,40,40,40
"NJ-508",NA,NA,NA,NA,NA,NA,NA,48,48,44,45,36,40,41,43,43,44,44,44,45,46,46,47,47,48,48,48,49,49
"NJ-509",NA,NA,NA,NA,NA,NA,NA,38,41,41,40,42,38,44,41,42,43,38,38,38,38,38,38,38,38,38,38,38,38
"NJ-510",NA,NA,NA,NA,NA,NA,NA,47,53,53,49,49,45,50,54,54,54,51,51,52,52,53,53,54,54,54,54,55,55
"NJ-511",NA,NA,NA,NA,NA,NA,NA,58,51,52,50,44,43,42,36,33,40,34,33,32,31,30,29,28,28,27,26,26,25
"NJ-512",NA,NA,NA,NA,NA,NA,NA,48,47,NA,50,47,55,62,61,30,48,40,39,38,38,37,37,37,36,36,36,35,35
"NJ-513",NA,NA,NA,NA,NA,NA,NA,36,37,42,39,41,44,49,46,48,45,49,49,49,50,50,50,50,51,51,51,51,51
"NJ-514",NA,NA,NA,NA,NA,NA,NA,35,34,33,32,36,31,37,38,39,45,43,44,45,46,46,47,47,48,48,49,49,49
"NJ-515",NA,NA,NA,NA,NA,NA,NA,54,44,49,48,48,48,46,45,45,44,47,47,47,46,46,46,46,46,46,46,46,46
"NJ-516",NA,NA,NA,NA,NA,NA,NA,38,43,43,42,48,46,48,53,55,54,51,52,53,54,55,56,56,57,58,58,59,59
"NM-500",NA,NA,NA,NA,NA,NA,NA,32,35,34,31,32,33,31,35,40,38,38,38,39,39,40,40,40,41,41,41,42,42
"NM-501",NA,NA,NA,NA,NA,NA,NA,33,48,41,42,38,45,40,45,34,46,40,39,39,39,39,39,39,39,39,39,39,39
"NV-500",NA,NA,NA,NA,NA,NA,NA,34,33,24,28,29,29,29,29,28,33,36,37,38,39,39,40,40,41,41,42,42,42
"NV-501",NA,NA,NA,NA,NA,NA,NA,28,29,28,31,32,29,32,21,35,32,33,33,33,33,34,34,34,34,34,34,34,35
"NV-502",NA,NA,NA,NA,NA,NA,NA,31,39,41,34,42,38,36,13,36,30,33,32,31,30,29,28,28,27,27,26,26,25
"NY-500",NA,NA,NA,NA,NA,NA,NA,41,48,42,38,40,35,35,38,39,43,42,42,43,44,44,45,46,46,47,47,48,49
"NY-501",NA,NA,NA,NA,NA,NA,NA,41,42,46,42,48,47,40,41,42,41,45,45,44,44,44,44,43,43,43,43,43,43
"NY-503",NA,NA,NA,NA,NA,NA,NA,32,29,34,34,33,27,32,20,30,35,33,33,34,34,34,34,35,35,35,36,36,36
"NY-505",NA,NA,NA,NA,NA,NA,NA,38,39,36,37,36,37,39,42,39,40,45,46,47,47,48,48,49,49,49,50,50,50
"NY-507",NA,NA,NA,NA,NA,NA,NA,39,43,37,41,42,42,39,30,34,40,41,40,40,39,39,39,38,38,37,37,36,36
"NY-508",NA,NA,NA,NA,NA,NA,NA,44,42,41,41,42,43,41,39,41,45,46,47,47,47,47,47,48,48,48,48,48,48
"NY-510",NA,NA,NA,NA,NA,NA,NA,66,43,36,49,46,43,33,35,33,42,37,37,37,36,36,36,36,36,36,36,35,35
"NY-511",NA,NA,NA,NA,NA,NA,NA,37,30,26,32,27,30,38,33,35,42,38,39,40,40,40,41,41,41,42,42,42,42
"NY-512",NA,NA,NA,NA,NA,NA,NA,48,49,52,63,49,48,54,57,55,40,47,47,46,46,45,45,44,44,43,43,43,42
"NY-513",NA,NA,NA,NA,NA,NA,NA,26,33,24,42,41,42,39,45,44,46,45,46,46,46,47,47,47,47,47,48,48,48
"NY-514",NA,NA,NA,NA,NA,NA,NA,47,62,57,64,55,48,62,53,45,47,57,57,56,56,56,56,56,55,55,55,55,55
"NY-518",NA,NA,NA,NA,NA,NA,NA,53,44,48,51,50,41,44,34,35,38,44,44,43,43,42,42,41,41,41,40,40,40
"NY-519",NA,NA,NA,NA,NA,NA,NA,49,52,47,47,44,50,41,41,35,52,41,40,40,39,38,37,35,33,31,27,22,15
"NY-520",NA,NA,NA,NA,NA,NA,NA,41,29,37,25,38,29,26,25,33,32,34,34,34,33,33,33,33,33,33,33,33,33
"NY-522",NA,NA,NA,NA,NA,NA,NA,74,28,33,29,29,53,31,31,42,43,42,43,43,44,44,44,44,45,45,45,45,45
"NY-523",NA,NA,NA,NA,NA,NA,NA,42,38,38,37,26,40,36,32,39,40,45,46,46,47,48,49,49,50,50,51,51,52
"NY-600",NA,NA,NA,NA,NA,NA,NA,48,48,48,48,48,47,46,44,43,43,44,43,43,43,42,42,42,41,41,41,41,40
"NY-601",NA,NA,NA,NA,NA,NA,NA,52,45,49,49,50,49,51,42,43,44,49,48,47,47,46,46,46,45,45,45,44,44
"NY-602",NA,NA,NA,NA,NA,NA,NA,34,39,43,46,46,45,44,38,43,44,45,45,45,45,45,45,45,45,44,44,44,44
"NY-603",NA,NA,NA,NA,NA,NA,NA,48,50,51,50,54,52,53,49,50,52,49,48,47,46,45,45,44,43,42,41,40,39
"NY-604",NA,NA,NA,NA,NA,NA,NA,47,47,47,47,49,50,49,48,46,43,46,45,44,43,41,40,38,36,34,32,29,25
"NY-606",NA,NA,NA,NA,NA,NA,NA,33,33,43,49,50,35,35,36,33,41,27,23,19,14,8,0,-10,-24,-44,-74,-127,-243
"NY-608",NA,NA,NA,NA,NA,NA,NA,51,44,48,46,48,49,42,50,46,47,48,48,48,48,48,48,48,48,48,48,48,48
"OH-500",NA,NA,NA,NA,NA,NA,NA,29,30,30,32,33,33,31,38,36,35,34,35,35,36,36,37,37,38,39,39,40,41
"OH-501",NA,NA,NA,NA,NA,NA,NA,44,40,41,45,44,44,46,45,48,37,45,45,44,44,44,43,43,42,42,41,40,40
"OH-502",NA,NA,NA,NA,NA,NA,NA,28,27,27,30,32,32,28,34,36,36,37,38,39,41,42,43,45,46,48,49,51,52
"OH-503",NA,NA,NA,NA,NA,NA,NA,33,39,36,38,40,40,41,39,41,41,42,43,43,43,43,43,44,44,44,44,44,44
"OH-504",NA,NA,NA,NA,NA,NA,NA,46,45,40,42,42,21,62,74,44,47,36,36,37,37,38,38,38,39,39,39,39,40
"OH-505",NA,NA,NA,NA,NA,NA,NA,39,40,38,38,34,33,38,44,41,41,42,44,45,46,47,48,49,50,51,52,53,53
"OH-506",NA,NA,NA,NA,NA,NA,NA,37,40,41,34,39,41,45,38,30,36,40,39,39,38,38,37,37,36,36,35,35,34
"OH-507",NA,NA,NA,NA,NA,NA,NA,45,46,47,47,47,46,43,49,45,44,43,42,42,41,41,41,40,40,40,40,39,39
"OH-508",NA,NA,NA,NA,NA,NA,NA,51,49,55,55,52,55,52,53,51,47,49,49,48,47,47,46,45,45,44,44,43,43
"OK-500",NA,NA,NA,NA,NA,NA,NA,60,47,45,59,57,48,38,48,29,33,27,24,21,19,16,14,12,10,9,7,5,4
"OK-501",NA,NA,NA,NA,NA,NA,NA,45,37,43,35,31,33,37,36,42,40,36,37,38,39,40,41,42,43,43,44,45,46
"OK-502",NA,NA,NA,NA,NA,NA,NA,33,38,35,37,31,30,33,37,36,36,36,37,37,38,38,39,39,40,40,40,41,41
"OK-503",NA,NA,NA,NA,NA,NA,NA,55,54,48,48,45,44,40,39,29,35,39,35,32,29,25,22,18,14,10,6,1,-4
"OK-504",NA,NA,NA,NA,NA,NA,NA,46,41,40,46,35,30,37,43,38,40,43,46,50,55,61,71,85,112,176,503,-425,-133
"OK-505",NA,NA,NA,NA,NA,NA,NA,39,41,38,46,43,38,42,54,61,29,63,65,66,68,69,71,72,73,75,76,77,78
"OK-506",NA,NA,NA,NA,NA,NA,NA,35,29,25,35,38,32,34,75,54,36,44,44,44,45,45,45,45,45,45,45,45,45
"OK-507",NA,NA,NA,NA,NA,NA,NA,41,51,44,47,48,44,40,45,41,46,44,44,44,44,44,44,44,44,44,44,44,44
"OR-500",NA,NA,NA,NA,NA,NA,NA,16,31,32,34,33,30,32,34,35,33,34,35,35,35,35,35,36,36,36,36,36,36
"OR-501",NA,NA,NA,NA,NA,NA,NA,24,36,38,38,37,35,34,32,36,41,39,40,40,40,40,41,41,41,41,41,41,41
"OR-502",NA,NA,NA,NA,NA,NA,NA,26,26,38,35,32,33,36,38,36,39,36,36,37,37,37,38,38,38,38,39,39,39
"OR-503",NA,NA,NA,NA,NA,NA,NA,24,38,39,37,35,42,42,37,40,39,38,38,38,38,38,38,38,38,38,38,38,38
"OR-505",NA,NA,NA,NA,NA,NA,NA,47,46,44,44,44,45,41,41,39,39,38,37,36,35,34,32,31,29,27,25,24,21
"OR-506",NA,NA,NA,NA,NA,NA,NA,42,40,34,37,35,32,31,34,38,40,41,41,42,43,43,44,44,45,45,45,46,46
"OR-507",NA,NA,NA,NA,NA,NA,NA,14,41,44,34,35,37,43,52,48,44,37,38,40,41,42,43,45,46,47,48,49,51
"PA-500",NA,NA,NA,NA,NA,NA,NA,40,41,42,40,40,39,37,39,38,37,38,38,37,37,36,36,36,35,35,34,33,33
"PA-501",NA,NA,NA,NA,NA,NA,NA,45,52,28,35,37,34,39,34,44,35,38,39,39,40,40,41,41,42,43,44,44,45
"PA-502",NA,NA,NA,NA,NA,NA,NA,44,42,47,46,50,47,53,47,53,54,51,51,52,52,52,53,53,53,54,54,54,54
"PA-503",NA,NA,NA,NA,NA,NA,NA,56,53,56,60,58,54,64,55,54,57,59,59,58,58,58,58,58,58,58,58,57,57
"PA-504",NA,NA,NA,NA,NA,NA,NA,58,54,52,54,54,56,56,48,49,49,45,44,43,43,42,42,41,41,41,40,40,40
"PA-505",NA,NA,NA,NA,NA,NA,NA,30,34,30,35,35,30,32,39,36,33,54,63,82,130,555,-160,-56,-28,-14,-7,-2,2
"PA-506",NA,NA,NA,NA,NA,NA,NA,36,33,34,32,30,36,29,36,34,29,33,33,33,33,33,33,33,33,33,33,33,33
"PA-508",NA,NA,NA,NA,NA,NA,NA,48,40,47,48,37,35,41,40,39,37,38,38,38,38,38,38,38,38,38,38,39,39
"PA-509",NA,NA,NA,NA,NA,NA,NA,48,49,45,48,45,45,44,50,47,46,43,43,43,43,43,43,43,43,43,43,43,43
"PA-510",NA,NA,NA,NA,NA,NA,NA,48,54,50,48,44,45,45,55,57,44,45,45,46,46,46,46,47,47,47,47,47,47
"PA-511",NA,NA,NA,NA,NA,NA,NA,55,61,60,58,59,55,56,45,50,49,48,46,44,43,41,39,38,36,34,33,31,30
"PA-512",NA,NA,NA,NA,NA,NA,NA,42,50,45,50,46,44,45,54,46,38,42,41,40,40,39,38,38,37,37,36,36,35
"PA-600",NA,NA,NA,NA,NA,NA,NA,44,44,42,41,37,37,38,38,37,37,39,39,39,39,39,39,39,39,39,39,39,39
"PA-601",NA,NA,NA,NA,NA,NA,NA,45,46,44,43,42,46,40,41,44,40,41,41,40,40,39,39,39,38,38,37,37,37
"PA-603",NA,NA,NA,NA,NA,NA,NA,51,50,50,53,46,48,55,62,61,64,44,44,45,45,46,47,48,50,51,53,55,58
"PA-605",NA,NA,NA,NA,NA,NA,NA,40,42,42,35,34,36,34,33,34,34,37,38,38,38,38,38,38,38,39,39,39,39
"PR-502",NA,NA,NA,NA,NA,NA,NA,15,28,28,25,22,23,23,40,24,26,26,28,29,31,33,36,40,45,53,68,98,207
"PR-503",NA,NA,NA,NA,NA,NA,NA,7,27,28,22,21,19,18,21,20,19,25,26,27,28,29,30,32,34,36,38,41,45
"RI-500",NA,NA,NA,NA,NA,NA,NA,39,38,36,36,38,34,39,41,39,40,43,43,43,43,44,44,44,44,44,44,44,44
"SC-500",NA,NA,NA,NA,NA,NA,NA,31,27,25,19,31,29,30,33,40,38,38,40,41,43,44,46,48,49,51,53,54,56
"SC-501",NA,NA,NA,NA,NA,NA,NA,41,36,39,41,36,37,35,32,31,33,35,35,34,34,34,33,33,33,33,32,32,32
"SC-502",NA,NA,NA,NA,NA,NA,NA,37,34,32,36,36,34,35,28,34,34,33,33,33,32,32,32,32,31,31,31,30,30
"SC-503",NA,NA,NA,NA,NA,NA,NA,64,46,38,40,39,41,44,48,48,43,41,42,43,43,44,44,45,46,47,47,48,49
"SD-500",NA,NA,NA,NA,NA,NA,NA,41,36,43,44,37,39,42,44,41,41,38,38,38,39,39,39,39,39,40,40,40,40
"TN-500",NA,NA,NA,NA,NA,NA,NA,43,36,41,36,34,33,38,27,50,33,39,40,41,41,42,42,42,42,42,43,43,43
"TN-501",NA,NA,NA,NA,NA,NA,NA,32,37,33,33,32,42,28,27,28,37,47,49,51,54,57,61,66,71,78,87,99,115
"TN-502",NA,NA,NA,NA,NA,NA,NA,36,40,38,42,42,43,46,31,45,40,37,36,36,35,35,34,34,34,33,33,33,33
"TN-503",NA,NA,NA,NA,NA,NA,NA,34,51,39,44,51,38,46,51,47,49,42,42,42,42,42,42,42,42,42,41,41,41
"TN-504",NA,NA,NA,NA,NA,NA,NA,28,36,22,31,25,25,26,27,29,32,32,34,35,36,38,39,41,42,44,46,47,49
"TN-506",NA,NA,NA,NA,NA,NA,NA,52,47,51,45,43,43,46,15,51,40,46,46,46,46,46,46,46,46,46,46,46,46
"TN-507",NA,NA,NA,NA,NA,NA,NA,57,45,45,51,45,51,42,46,45,44,39,38,36,35,33,31,29,26,23,20,17,12
"TN-509",NA,NA,NA,NA,NA,NA,NA,30,33,31,34,36,36,35,34,35,34,37,37,37,37,37,37,37,37,37,37,37,37
"TN-510",NA,NA,NA,NA,NA,NA,NA,44,38,41,61,43,41,43,40,43,43,40,40,40,40,40,40,40,40,39,39,39,39
"TN-512",NA,NA,NA,NA,NA,NA,NA,52,47,45,49,46,46,43,62,46,46,44,44,44,44,44,44,44,44,43,43,43,43
"TX-500",NA,NA,NA,NA,NA,NA,NA,39,37,36,38,35,37,40,39,35,37,37,37,37,37,37,37,37,37,37,37,37,37
"TX-503",NA,NA,NA,NA,NA,NA,NA,35,35,35,35,33,33,32,44,43,36,36,37,37,38,39,39,40,40,40,41,41,42
"TX-600",NA,NA,NA,NA,NA,NA,NA,46,43,50,34,35,34,34,29,34,37,36,36,36,36,37,37,37,38,38,39,39,39
"TX-601",NA,NA,NA,NA,NA,NA,NA,40,38,38,38,39,36,39,40,42,38,37,37,37,37,37,37,37,37,37,37,37,37
"TX-603",NA,NA,NA,NA,NA,NA,NA,39,40,45,42,40,33,40,42,39,41,36,36,37,37,37,37,37,38,38,38,38,38
"TX-604",NA,NA,NA,NA,NA,NA,NA,48,37,51,48,34,37,42,39,38,39,48,49,50,51,52,53,54,55,55,56,57,58
"TX-607",NA,NA,NA,NA,NA,NA,NA,32,37,41,39,40,38,38,50,38,38,36,36,36,36,35,35,35,35,34,34,34,34
"TX-611",NA,NA,NA,NA,NA,NA,NA,43,40,37,33,32,37,41,32,38,34,36,36,36,37,37,37,37,38,38,38,38,39
"TX-624",NA,NA,NA,NA,NA,NA,NA,41,42,48,42,40,36,40,47,38,34,40,39,39,39,39,38,38,38,38,38,37,37
"TX-700",NA,NA,NA,NA,NA,NA,NA,36,38,36,38,37,38,37,36,32,38,38,38,38,37,37,37,37,37,37,37,36,36
"TX-701",NA,NA,NA,NA,NA,NA,NA,40,48,43,33,45,39,33,24,30,35,26,23,19,15,11,6,1,-5,-11,-18,-26,-35
"UT-500",NA,NA,NA,NA,NA,NA,NA,36,35,34,35,38,36,39,29,39,35,35,35,35,35,34,34,34,34,34,34,33,33
"UT-503",NA,NA,NA,NA,NA,NA,NA,48,48,42,45,43,46,42,29,43,42,40,40,40,39,39,39,39,38,38,38,38,38
"UT-504",NA,NA,NA,NA,NA,NA,NA,49,53,51,45,45,46,37,25,34,38,38,36,35,34,33,32,32,31,30,30,29,29
"VA-500",NA,NA,NA,NA,NA,NA,NA,25,22,25,21,36,32,31,39,36,35,36,36,37,37,37,37,37,38,38,38,38,38
"VA-501",NA,NA,NA,NA,NA,NA,NA,31,33,31,29,31,34,33,39,34,34,36,37,37,38,39,40,40,41,42,43,44,45
"VA-502",NA,NA,NA,NA,NA,NA,NA,33,40,36,38,39,38,36,33,40,40,37,37,38,38,38,38,38,38,38,38,38,38
"VA-503",NA,NA,NA,NA,NA,NA,NA,49,47,46,43,39,41,42,45,47,37,42,42,42,42,42,43,43,43,43,43,43,43
"VA-504",NA,NA,NA,NA,NA,NA,NA,42,43,32,32,38,28,37,41,35,26,44,44,44,45,45,45,45,45,46,46,46,46
"VA-505",NA,NA,NA,NA,NA,NA,NA,37,38,38,40,38,34,37,37,42,40,37,37,38,39,39,40,40,41,41,42,42,43
"VA-507",NA,NA,NA,NA,NA,NA,NA,68,45,45,28,24,34,43,46,48,42,43,46,49,52,56,59,63,66,70,75,79,84
"VA-508",NA,NA,NA,NA,NA,NA,NA,44,41,41,45,34,41,53,32,39,44,46,47,48,48,49,49,50,50,51,51,51,51
"VA-513",NA,NA,NA,NA,NA,NA,NA,39,41,41,36,32,38,37,39,36,38,40,41,41,42,42,43,43,44,44,45,45,45
"VA-514",NA,NA,NA,NA,NA,NA,NA,44,44,43,43,42,42,37,33,43,41,40,40,41,41,41,41,41,41,41,41,41,41
"VA-521",NA,NA,NA,NA,NA,NA,NA,47,47,48,47,47,52,45,48,40,45,47,47,46,46,46,45,45,45,45,45,44,44
"VA-600",NA,NA,NA,NA,NA,NA,NA,38,38,76,39,41,39,41,35,32,37,36,35,34,33,32,31,31,30,29,28,27,26
"VA-601",NA,NA,NA,NA,NA,NA,NA,45,45,46,44,43,44,46,40,46,48,45,46,46,46,47,47,47,48,48,48,48,49
"VA-602",NA,NA,NA,NA,NA,NA,NA,49,51,49,35,48,40,55,38,47,46,41,41,41,41,41,40,40,40,40,40,40,40
"VA-603",NA,NA,NA,NA,NA,NA,NA,39,43,39,46,41,41,43,42,36,41,47,47,48,49,50,51,53,54,56,59,62,66
"VA-604",NA,NA,NA,NA,NA,NA,NA,46,45,49,47,43,45,39,43,43,47,43,43,43,44,44,44,44,45,45,45,46,46
"VI-500",NA,NA,NA,NA,NA,NA,NA,8,24,23,19,30,23,32,28,21,25,28,28,27,26,25,23,20,14,-6,620,67,50
"VT-500",NA,NA,NA,NA,NA,NA,NA,49,46,45,46,45,45,45,46,45,46,47,47,47,47,47,47,47,47,47,47,47,47
"VT-501",NA,NA,NA,NA,NA,NA,NA,40,39,37,44,37,36,43,43,41,39,45,45,45,45,46,46,46,46,46,46,46,46
"WA-500",NA,NA,NA,NA,NA,NA,NA,30,34,33,36,35,40,41,43,32,33,33,32,31,31,30,30,29,29,28,28,28,27
"WA-501",NA,NA,NA,NA,NA,NA,NA,45,45,44,44,43,43,42,45,41,42,42,41,41,41,41,41,41,41,40,40,40,40
"WA-502",NA,NA,NA,NA,NA,NA,NA,40,43,43,39,38,39,40,39,35,34,35,34,33,33,33,32,32,32,32,31,31,31
"WA-503",NA,NA,NA,NA,NA,NA,NA,40,42,44,40,39,38,37,41,38,38,39,38,38,38,38,38,38,38,38,38,38,38
"WA-504",NA,NA,NA,NA,NA,NA,NA,41,38,39,41,41,45,42,42,39,41,38,38,37,37,36,36,36,35,35,35,34,34
"WA-508",NA,NA,NA,NA,NA,NA,NA,45,46,46,43,43,45,45,50,42,40,42,42,42,41,41,41,41,40,40,40,40,40
"WI-500",NA,NA,NA,NA,NA,NA,NA,50,50,49,49,49,46,46,46,47,44,46,46,45,45,44,44,43,43,42,42,42,41
"WI-501",NA,NA,NA,NA,NA,NA,NA,40,38,39,34,32,34,31,38,35,37,36,37,38,39,40,41,41,42,43,44,45,45
"WI-502",NA,NA,NA,NA,NA,NA,NA,43,46,44,36,37,38,36,32,42,41,40,40,41,42,42,43,44,45,45,46,47,48
"WI-503",NA,NA,NA,NA,NA,NA,NA,41,39,43,45,40,41,42,40,41,35,32,30,29,28,28,27,26,25,24,24,23,22
"WV-500",NA,NA,NA,NA,NA,NA,NA,41,30,31,57,40,43,44,41,41,49,41,41,42,42,42,43,43,43,43,44,44,44
"WV-501",NA,NA,NA,NA,NA,NA,NA,41,43,48,41,39,42,36,28,34,35,36,36,35,35,34,34,34,33,33,33,33,32
"WV-503",NA,NA,NA,NA,NA,NA,NA,30,30,25,20,28,31,38,35,38,33,37,38,40,41,42,43,44,45,46,47,48,49
"WV-508",NA,NA,NA,NA,NA,NA,NA,38,34,35,37,37,39,39,42,40,40,38,38,39,39,39,39,39,39,39,39,39,40
"WY-500",NA,NA,NA,NA,NA,NA,NA,39,37,39,34,40,31,44,59,40,30,42,42,42,42,43,43,43,43,43,43,43,43
